Wall time,Step,Value
1649762351.209423,0,11.448565483093262
1649770327.966476,1,3.9509358406066895
1649778291.260625,2,2.7517077922821045
1649785841.047461,3,2.2909069061279297
1649793956.596514,4,1.9511977434158325
1649802186.862036,5,1.7672688961029053
1649810148.15081,6,1.558435320854187
1649817891.895165,7,1.403485655784607
1649825776.527583,8,1.2788022756576538
1649833331.289322,9,1.1643309593200684
1649841007.552547,10,1.0989813804626465
1649848778.342939,11,1.0451114177703857
1649856681.117083,12,0.9895094633102417
1649864925.141215,13,0.9513620734214783
1649872858.025292,14,0.9209536910057068
1649880445.929483,15,0.898952305316925
1649887792.179952,16,0.8876558542251587
1649895069.018681,17,0.867007851600647
1649902467.423538,18,0.8320543766021729
1649910056.464298,19,0.8375932574272156
1649917536.659865,20,0.8203487992286682
1649924941.747616,21,0.8098231554031372
1649932267.466339,22,0.8085669875144958
1649939559.486368,23,0.8170215487480164
1649946916.460839,24,0.8019672632217407
1649954142.087504,25,0.8006625175476074
1649961249.949599,26,0.8028733730316162
1649968681.724304,27,0.7861635088920593
1649975939.695998,28,0.7773126363754272
1649983426.50488,29,0.7827487587928772
1649990751.044232,30,0.7750473618507385
1649998057.330436,31,0.7808191776275635
1650005215.800466,32,0.7775595188140869
